User:
nsb37
Hostname:

CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                16
On-line CPU(s) list:   0-15
Thread(s) per core:    2
Core(s) per socket:    8
Socket(s):             1
NUMA node(s):          1
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Core(TM) i7-7820X CPU @ 3.60GHz
Stepping:              4
CPU MHz:               1544.062
Computation started at:
Wed 25 Nov 11:20:40 GMT 2020
git commit: 2dc9da2c14d8b29bbb58a979480699b27e79f1a4, branch: master, compiled at: Wed 25 Nov 11:13:16 GMT 2020

Number of MPI processes used: 4

{
    "sampling": {
        "tau": "0.001",
        "maxIter": "30000",
        "seed": "100",
        "shiftDamping": "0.01",
        "initialShift": "0.0",
        "initialPop": "50.0",
        "targetPop": "1000.0",
        "mainMemoryFac": "10.0",
        "spawnMemoryFac": "10.0",
        "initiator": "true"
    }
}

Starting heat bath construction
Heat bath construction done
Hartree--Fock energy: -128.496

#  1. Iter     2. nDets  3. nSpawned           4. Shift_1        5. nWalkers_1      6. Energy_Num_1    7. Energy_Denom_1    8. Time
       241          150           26      -128.4963497305       209.3099701332     -6685.0005307236        51.9596419941     0.0002
       242          150           31      -128.4963497305       208.3908331927     -6684.9386293928        51.9596419941     0.0001
       243          150           28      -128.4963497305       208.9714211041     -6684.9250766525        51.9596419941     0.0002
       244          150           24      -128.4963497305       208.5645084604     -6684.8909523346        51.9596419941     0.0002
       245          150           30      -128.4963497305       207.2602810007     -6684.7755749427        51.9596419941     0.0002
       246          150           36      -128.4963497305       206.8617095451     -6684.7014120487        51.9596419941     0.0002
       247          150           34      -128.4963497305       208.1483581207     -6684.8737283772        51.9596419941     0.0001
       248          150           21      -128.4963497305       206.7706102541     -6684.7991288296        51.9596419941     0.0001
       249          150           17      -128.4963497305       206.4063926719     -6684.7669484827        51.9596419941     0.0003
       250          150           19      -128.4963497305       205.1668568092     -6684.7142339406        51.9596419941     0.0001
       251          150           23      -128.4963497305       204.9616650717     -6684.6995839551        51.9596419941     0.0001
       252          150           21      -128.4963497305       199.7639816790     -6684.3874255449        51.9596419941     0.0002
       253          150           23      -128.4963497305       202.4242972676     -6684.5277645335        51.9596419941     0.0001
       254          150           15      -128.4963497305       201.0873553784     -6684.4453320181        51.9596419941     0.0002
       255          150           27      -128.4963497305       201.8925926729     -6684.5514673385        51.9596419941     0.0001
       256          150           22      -128.4963497305       202.3386029962     -6684.5849992705        51.9596419941     0.0002
       257          150           22      -128.4963497305       203.4056916175     -6684.5710883368        51.9596419941     0.0002
       258          150           30      -128.4963497305       204.3567206989     -6684.7361011162        51.9596419941     0.0002
       259          150           23      -128.4963497305       205.3732962897     -6684.8988788234        51.9596419941     0.0002
       260          150           17      -128.4963497305       205.2012396447     -6684.8594184722        51.9596419941     0.0001
       261          150           27      -128.4963497305       208.0778713338     -6684.9034368867        51.9596419941     0.0002
       262          150           22      -128.4963497305       207.7348136360     -6684.8502559257        51.9596419941     0.0002
       263          151           34      -128.4963497305       212.5833434795     -6684.9651845512        51.9596419941     0.0001
       264          151           23      -128.4963497305       213.4507435837     -6684.9854900610        51.9596419941     0.0001
       265          153           33      -128.4963497305       217.3683458366     -6684.9363797426        51.9596419941     0.0002
       266          155           35      -128.4963497305       220.3881668048     -6685.1291812780        51.9596419941     0.0001
       267          155           26      -128.4963497305       219.2588082240     -6685.0416902572        51.9596419941     0.0002
       268          155           31      -128.4963497305       219.9559750374     -6685.0568603457        51.9596419941     0.0002
       269          156           19      -128.4963497305       221.5641992115     -6685.1257036942        51.9596419941     0.0002
       270          157           32      -128.4963497305       222.6503094212     -6685.1854665531        51.9596419941     0.0002
